county,candidate,candidatevotes,totalvotes
ALBANY,JOSEPH R BIDEN JR,99474,154727
ALBANY,OTHER,779,154727
ALBANY,JO JORGENSEN,1523,154727
ALBANY,OTHER,1870,154727
ALBANY,DONALD J TRUMP,51081,154727
ALLEGANY,JOSEPH R BIDEN JR,6048,20895
ALLEGANY,OTHER,88,20895
ALLEGANY,JO JORGENSEN,338,20895
ALLEGANY,OTHER,286,20895
ALLEGANY,DONALD J TRUMP,14135,20895
BRONX,JOSEPH R BIDEN JR,355374,432399
BRONX,OTHER,1420,432399
BRONX,JO JORGENSEN,775,432399
BRONX,OTHER,7090,432399
BRONX,DONALD J TRUMP,67740,432399
BROOME,JOSEPH R BIDEN JR,47010,93494
BROOME,OTHER,432,93494
BROOME,JO JORGENSEN,1104,93494
BROOME,OTHER,1148,93494
BROOME,DONALD J TRUMP,43800,93494
CATTARAUGUS,JOSEPH R BIDEN JR,11879,35018
CATTARAUGUS,OTHER,113,35018
CATTARAUGUS,JO JORGENSEN,450,35018
CATTARAUGUS,OTHER,421,35018
CATTARAUGUS,DONALD J TRUMP,22155,35018
CAYUGA,JOSEPH R BIDEN JR,16149,36760
CAYUGA,OTHER,185,36760
CAYUGA,JO JORGENSEN,399,36760
CAYUGA,OTHER,515,36760
CAYUGA,DONALD J TRUMP,19512,36760
CHAUTAUQUA,JOSEPH R BIDEN JR,23087,59770
CHAUTAUQUA,OTHER,203,59770
CHAUTAUQUA,JO JORGENSEN,756,59770
CHAUTAUQUA,OTHER,871,59770
CHAUTAUQUA,DONALD J TRUMP,34853,59770
CHEMUNG,JOSEPH R BIDEN JR,16636,39711
CHEMUNG,OTHER,117,39711
CHEMUNG,JO JORGENSEN,560,39711
CHEMUNG,OTHER,476,39711
CHEMUNG,DONALD J TRUMP,21922,39711
CHENANGO,JOSEPH R BIDEN JR,8290,22417
CHENANGO,OTHER,107,22417
CHENANGO,JO JORGENSEN,316,22417
CHENANGO,OTHER,222,22417
CHENANGO,DONALD J TRUMP,13482,22417
CLINTON,JOSEPH R BIDEN JR,18364,35637
CLINTON,OTHER,121,35637
CLINTON,JO JORGENSEN,279,35637
CLINTON,OTHER,359,35637
CLINTON,DONALD J TRUMP,16514,35637
COLUMBIA,JOSEPH R BIDEN JR,20386,35781
COLUMBIA,OTHER,185,35781
COLUMBIA,JO JORGENSEN,357,35781
COLUMBIA,OTHER,389,35781
COLUMBIA,DONALD J TRUMP,14464,35781
CORTLAND,JOSEPH R BIDEN JR,10369,21892
CORTLAND,OTHER,113,21892
CORTLAND,JO JORGENSEN,295,21892
CORTLAND,OTHER,326,21892
CORTLAND,DONALD J TRUMP,10789,21892
DELAWARE,JOSEPH R BIDEN JR,9143,23074
DELAWARE,OTHER,81,23074
DELAWARE,JO JORGENSEN,268,23074
DELAWARE,OTHER,195,23074
DELAWARE,DONALD J TRUMP,13387,23074
DUTCHESS,JOSEPH R BIDEN JR,81443,151889
DUTCHESS,OTHER,578,151889
DUTCHESS,JO JORGENSEN,1247,151889
DUTCHESS,OTHER,1749,151889
DUTCHESS,DONALD J TRUMP,66872,151889
ERIE,JOSEPH R BIDEN JR,267174,476787
ERIE,OTHER,1986,476787
ERIE,JO JORGENSEN,4439,476787
ERIE,OTHER,5661,476787
ERIE,DONALD J TRUMP,197527,476787
ESSEX,JOSEPH R BIDEN JR,9947,19470
ESSEX,OTHER,73,19470
ESSEX,JO JORGENSEN,173,19470
ESSEX,OTHER,301,19470
ESSEX,DONALD J TRUMP,8976,19470
FRANKLIN,JOSEPH R BIDEN JR,9253,19420
FRANKLIN,OTHER,77,19420
FRANKLIN,JO JORGENSEN,173,19420
FRANKLIN,OTHER,249,19420
FRANKLIN,DONALD J TRUMP,9668,19420
FULTON,JOSEPH R BIDEN JR,7931,24072
FULTON,OTHER,73,24072
FULTON,JO JORGENSEN,248,24072
FULTON,OTHER,442,24072
FULTON,DONALD J TRUMP,15378,24072
GENESEE,JOSEPH R BIDEN JR,9625,29431
GENESEE,OTHER,109,29431
GENESEE,JO JORGENSEN,456,29431
GENESEE,OTHER,365,29431
GENESEE,DONALD J TRUMP,18876,29431
GREENE,JOSEPH R BIDEN JR,10346,25320
GREENE,OTHER,121,25320
GREENE,JO JORGENSEN,305,25320
GREENE,OTHER,277,25320
GREENE,DONALD J TRUMP,14271,25320
HAMILTON,JOSEPH R BIDEN JR,1178,3489
HAMILTON,OTHER,7,3489
HAMILTON,JO JORGENSEN,41,3489
HAMILTON,OTHER,38,3489
HAMILTON,DONALD J TRUMP,2225,3489
HERKIMER,JOSEPH R BIDEN JR,9937,29560
HERKIMER,OTHER,98,29560
HERKIMER,JO JORGENSEN,298,29560
HERKIMER,OTHER,357,29560
HERKIMER,DONALD J TRUMP,18870,29560
JEFFERSON,JOSEPH R BIDEN JR,17307,44129
JEFFERSON,OTHER,186,44129
JEFFERSON,JO JORGENSEN,537,44129
JEFFERSON,OTHER,470,44129
JEFFERSON,DONALD J TRUMP,25629,44129
KINGS,JOSEPH R BIDEN JR,703310,920380
KINGS,OTHER,3978,920380
KINGS,JO JORGENSEN,2504,920380
KINGS,OTHER,7816,920380
KINGS,DONALD J TRUMP,202772,920380
LEWIS,JOSEPH R BIDEN JR,3824,13036
LEWIS,OTHER,46,13036
LEWIS,JO JORGENSEN,126,13036
LEWIS,OTHER,146,13036
LEWIS,DONALD J TRUMP,8894,13036
LIVINGSTON,JOSEPH R BIDEN JR,12477,31656
LIVINGSTON,OTHER,128,31656
LIVINGSTON,JO JORGENSEN,460,31656
LIVINGSTON,OTHER,409,31656
LIVINGSTON,DONALD J TRUMP,18182,31656
MADISON,JOSEPH R BIDEN JR,14807,34266
MADISON,OTHER,185,34266
MADISON,JO JORGENSEN,476,34266
MADISON,OTHER,390,34266
MADISON,DONALD J TRUMP,18408,34266
MONROE,JOSEPH R BIDEN JR,225746,383499
MONROE,OTHER,1529,383499
MONROE,JO JORGENSEN,4865,383499
MONROE,OTHER,5698,383499
MONROE,DONALD J TRUMP,145661,383499
MONTGOMERY,JOSEPH R BIDEN JR,7977,21246
MONTGOMERY,OTHER,87,21246
MONTGOMERY,JO JORGENSEN,242,21246
MONTGOMERY,OTHER,195,21246
MONTGOMERY,DONALD J TRUMP,12745,21246
NASSAU,JOSEPH R BIDEN JR,396504,738369
NASSAU,OTHER,1924,738369
NASSAU,JO JORGENSEN,3594,738369
NASSAU,OTHER,9631,738369
NASSAU,DONALD J TRUMP,326716,738369
NEW YORK,JOSEPH R BIDEN JR,2321759,3066581
NEW YORK,OTHER,2694,701405
NEW YORK,JO JORGENSEN,3329,701405
NEW YORK,OTHER,7157,701405
NEW YORK,DONALD J TRUMP,691682,3066581
NIAGARA,JOSEPH R BIDEN JR,46029,104866
NIAGARA,OTHER,371,104866
NIAGARA,JO JORGENSEN,1133,104866
NIAGARA,OTHER,1265,104866
NIAGARA,DONALD J TRUMP,56068,104866
ONEIDA,JOSEPH R BIDEN JR,41567,101696
ONEIDA,OTHER,388,101696
ONEIDA,JO JORGENSEN,1184,101696
ONEIDA,OTHER,1377,101696
ONEIDA,DONALD J TRUMP,57180,101696
ONONDAGA,JOSEPH R BIDEN JR,138894,235686
ONONDAGA,OTHER,1820,235686
ONONDAGA,JO JORGENSEN,2554,235686
ONONDAGA,OTHER,1799,235686
ONONDAGA,DONALD J TRUMP,90619,235686
ONTARIO,JOSEPH R BIDEN JR,29025,60085
ONTARIO,OTHER,277,60085
ONTARIO,JO JORGENSEN,987,60085
ONTARIO,OTHER,757,60085
ONTARIO,DONALD J TRUMP,29039,60085
ORANGE,JOSEPH R BIDEN JR,84684,173305
ORANGE,OTHER,524,173305
ORANGE,JO JORGENSEN,1388,173305
ORANGE,OTHER,1713,173305
ORANGE,DONALD J TRUMP,84996,173305
ORLEANS,JOSEPH R BIDEN JR,5587,18314
ORLEANS,OTHER,50,18314
ORLEANS,JO JORGENSEN,313,18314
ORLEANS,OTHER,238,18314
ORLEANS,DONALD J TRUMP,12126,18314
OSWEGO,JOSEPH R BIDEN JR,21143,54852
OSWEGO,OTHER,284,54852
OSWEGO,JO JORGENSEN,697,54852
OSWEGO,OTHER,590,54852
OSWEGO,DONALD J TRUMP,32138,54852
OTSEGO,JOSEPH R BIDEN JR,12975,28223
OTSEGO,OTHER,136,28223
OTSEGO,JO JORGENSEN,409,28223
OTSEGO,OTHER,321,28223
OTSEGO,DONALD J TRUMP,14382,28223
PUTNAM,JOSEPH R BIDEN JR,24953,55318
PUTNAM,OTHER,162,55318
PUTNAM,JO JORGENSEN,411,55318
PUTNAM,OTHER,509,55318
PUTNAM,DONALD J TRUMP,29283,55318
QUEENS,JOSEPH R BIDEN JR,569038,794498
QUEENS,OTHER,2969,794498
QUEENS,JO JORGENSEN,2483,794498
QUEENS,OTHER,7343,794498
QUEENS,DONALD J TRUMP,212665,794498
RENSSELAER,JOSEPH R BIDEN JR,40969,79962
RENSSELAER,OTHER,374,79962
RENSSELAER,JO JORGENSEN,1016,79962
RENSSELAER,OTHER,1103,79962
RENSSELAER,DONALD J TRUMP,36500,79962
RICHMOND,JOSEPH R BIDEN JR,90997,217899
RICHMOND,OTHER,662,217899
RICHMOND,JO JORGENSEN,909,217899
RICHMOND,OTHER,2011,217899
RICHMOND,DONALD J TRUMP,123320,217899
ROCKLAND,JOSEPH R BIDEN JR,75802,151381
ROCKLAND,OTHER,323,151381
ROCKLAND,JO JORGENSEN,650,151381
ROCKLAND,OTHER,1420,151381
ROCKLAND,DONALD J TRUMP,73186,151381
ST. LAWRENCE,JOSEPH R BIDEN JR,19361,45267
ST. LAWRENCE,OTHER,201,45267
ST. LAWRENCE,JO JORGENSEN,437,45267
ST. LAWRENCE,OTHER,660,45267
ST. LAWRENCE,DONALD J TRUMP,24608,45267
SARATOGA,JOSEPH R BIDEN JR,68471,133556
SARATOGA,OTHER,511,133556
SARATOGA,JO JORGENSEN,1737,133556
SARATOGA,OTHER,1532,133556
SARATOGA,DONALD J TRUMP,61305,133556
SCHENECTADY,JOSEPH R BIDEN JR,42465,75381
SCHENECTADY,OTHER,352,75381
SCHENECTADY,JO JORGENSEN,923,75381
SCHENECTADY,OTHER,900,75381
SCHENECTADY,DONALD J TRUMP,30741,75381
SCHOHARIE,JOSEPH R BIDEN JR,5345,15810
SCHOHARIE,OTHER,75,15810
SCHOHARIE,JO JORGENSEN,282,15810
SCHOHARIE,OTHER,205,15810
SCHOHARIE,DONALD J TRUMP,9903,15810
SCHUYLER,JOSEPH R BIDEN JR,3903,9799
SCHUYLER,OTHER,51,9799
SCHUYLER,JO JORGENSEN,130,9799
SCHUYLER,OTHER,94,9799
SCHUYLER,DONALD J TRUMP,5621,9799
SENECA,JOSEPH R BIDEN JR,6914,15718
SENECA,OTHER,73,15718
SENECA,JO JORGENSEN,193,15718
SENECA,OTHER,209,15718
SENECA,DONALD J TRUMP,8329,15718
STEUBEN,JOSEPH R BIDEN JR,15790,46516
STEUBEN,OTHER,164,46516
STEUBEN,JO JORGENSEN,570,46516
STEUBEN,OTHER,518,46516
STEUBEN,DONALD J TRUMP,29474,46516
SUFFOLK,JOSEPH R BIDEN JR,368000,757877
SUFFOLK,OTHER,2066,757877
SUFFOLK,JO JORGENSEN,4458,757877
SUFFOLK,OTHER,7532,757877
SUFFOLK,DONALD J TRUMP,375821,757877
SULLIVAN,JOSEPH R BIDEN JR,15489,35132
SULLIVAN,OTHER,123,35132
SULLIVAN,JO JORGENSEN,247,35132
SULLIVAN,OTHER,608,35132
SULLIVAN,DONALD J TRUMP,18665,35132
TIOGA,JOSEPH R BIDEN JR,9634,25170
TIOGA,OTHER,92,25170
TIOGA,JO JORGENSEN,416,25170
TIOGA,OTHER,237,25170
TIOGA,DONALD J TRUMP,14791,25170
TOMPKINS,JOSEPH R BIDEN JR,33619,46048
TOMPKINS,OTHER,365,46048
TOMPKINS,JO JORGENSEN,474,46048
TOMPKINS,OTHER,494,46048
TOMPKINS,DONALD J TRUMP,11096,46048
ULSTER,JOSEPH R BIDEN JR,57970,98160
ULSTER,OTHER,618,98160
ULSTER,JO JORGENSEN,879,98160
ULSTER,OTHER,1103,98160
ULSTER,DONALD J TRUMP,37590,98160
WARREN,JOSEPH R BIDEN JR,17642,36394
WARREN,OTHER,204,36394
WARREN,JO JORGENSEN,424,36394
WARREN,OTHER,425,36394
WARREN,DONALD J TRUMP,17699,36394
WASHINGTON,JOSEPH R BIDEN JR,11565,28256
WASHINGTON,OTHER,128,28256
WASHINGTON,JO JORGENSEN,340,28256
WASHINGTON,OTHER,282,28256
WASHINGTON,DONALD J TRUMP,15941,28256
WAYNE,JOSEPH R BIDEN JR,17456,45031
WAYNE,OTHER,184,45031
WAYNE,JO JORGENSEN,656,45031
WAYNE,OTHER,531,45031
WAYNE,DONALD J TRUMP,26204,45031
WESTCHESTER,JOSEPH R BIDEN JR,312371,462265
WESTCHESTER,OTHER,1280,462265
WESTCHESTER,JO JORGENSEN,2569,462265
WESTCHESTER,OTHER,1332,462265
WESTCHESTER,DONALD J TRUMP,144713,462265
WYOMING,JOSEPH R BIDEN JR,5073,19483
WYOMING,OTHER,63,19483
WYOMING,JO JORGENSEN,267,19483
WYOMING,OTHER,182,19483
WYOMING,DONALD J TRUMP,13898,19483
YATES,JOSEPH R BIDEN JR,4219,10788
YATES,OTHER,40,10788
YATES,JO JORGENSEN,165,10788
YATES,OTHER,156,10788
YATES,DONALD J TRUMP,6208,10788
